Year,Good_Norway,Good_Italy,Average_Norway,Average_Italy,Bad_Norway,Bad_Italy
0,16.004695270501802,66.01576468623438,8.37704212565374,52.00003452051166,1.1632989873269155,29.574704389560328
2,19.966505354871856,134.41427023806423,8.86995893559487,106.38282382161253,1.1635325249654243,61.53217747838224
3,25.268600831873467,207.71842173012197,10.111864733549336,165.67128970069487,1.1637786462343627,98.39535779169064
4,33.31040575939435,279.4807983383671,10.801922950224995,223.41797076975746,1.1640701553777382,133.7167433658386
5,38.51395611620181,352.7849498304247,10.802106881468623,282.70643664883977,1.1643276636427728,170.57992367914693
6,44.74243155132943,426.36942407367906,10.940269276883464,342.2752271139403,1.1645970221734472,207.72343041384744
7,60.03756170517627,494.6277683725904,18.35151287431001,396.5178543265612,1.6183240693257337,239.5407405784018
8,73.12515677196491,554.6166042250732,24.63926132533769,442.490927447632,2.150855909696845,263.0884509949457
9,86.92231655410572,607.7375507889063,31.715417635679533,481.59607841229007,3.117018753659285,279.76820638038123
10,104.58266429389677,657.6347963589195,42.26058054468305,517.4775143839497,5.620626839357487,293.2242327710004
11,123.18909950411609,708.092685486754,53.3182159051594,553.9195962858544,8.163672358180401,307.2409074647221
12,143.5300290919174,758.5505746145885,65.9920952298166,590.3616781877588,11.455731429018668,321.2575821584438
13,159.2193620718568,814.1944185402427,74.56623353765472,631.98973809169,12.973805071107423,340.4602580629285
14,170.73014709686626,871.6603555351448,79.71078525158414,675.439899779993,13.151533478421447,361.4850444687433
15,179.56035636210208,929.2664535542406,81.85939069807728,719.0302231754686,13.151835109718887,382.6499932648565
16,194.77664595563763,990.6569002772898,90.07874336160116,766.4049144162343,14.551640849336753,407.59932905189135
17,210.70250065100842,1050.2252529241146,98.1207145286498,811.9575021939394,14.552048494541745,430.72655198687926
18,228.75705147232293,1112.7369885518158,108.29139257383532,860.4534882775451,15.163503771328113,456.7971885563466
19,245.3924714042385,1172.5856633329224,117.0429324689513,906.2863996127871,15.163923636517238,480.20473647244717
20,256.7455754573493,1235.9383657627413,121.16256256297517,955.623357034625,15.164259775859138,507.1163489173551
21,264.55085910887493,1303.2155813811655,122.9563786529079,1008.8848497778329,15.164548307444647,537.9525188220222
22,273.8541110400946,1371.6140869329959,126.09048854289215,1063.2676390789336,15.164856159888286,569.9099919108442
23,286.153301011886,1439.592108735742,130.6437485018454,1117.229942130719,15.16520611077781,601.4469762494439
24,295.53539339212386,1507.7102917849609,132.43757914022478,1171.3324072602386,15.165515011018762,633.124123497263
25,303.2618366208833,1576.6694423808683,132.9305345255195,1226.275844969281,15.165802556072256,665.6422483588077
26,313.5900144955239,1649.973593872926,135.37480432163105,1285.5643108483632,15.166124277689793,702.505428672116
27,329.3581880456177,1725.5203277702412,143.51532357977874,1347.0953740752814,16.211159250285327,741.6112212804312
28,339.05564223544843,1802.6088376052542,145.78219723427426,1410.1682238692733,16.211472373268087,782.2588110885948
29,347.23541546420785,1877.3146029940044,148.127892619569,1470.8583129130386,16.21175991832158,820.5236238374004
30,359.6725734397103,1947.8155277315802,154.65214925121606,1527.343534194813,17.532675210761482,854.5835417053689
31,379.3039370369537,2012.4296805666743,166.39964859095352,1577.941948960916,19.99690030179253,882.7566184352459
32,398.38341607954794,2076.202866437793,177.5952603391222,1627.699392118955,21.751554763946086,910.0887189118174
33,414.8611548359908,2141.6579863465704,186.18911827500537,1679.1387786760176,22.678341886052657,939.1027721511209
34,437.4096240643642,2209.355685666,200.85374033623611,1732.8207575883878,27.704926791295748,970.3594306937637
35,460.11577475558084,2268.3633940779664,215.67604483571762,1777.812698307208,31.824855110339822,992.9260037452094
36,481.71815537688076,2325.1285259925735,229.39457255079873,1820.562051527451,35.314039929535,1013.2499782944775
37,501.6648816177363,2386.37881161564,241.45743629684367,1867.7965809346995,37.62059118979906,1038.059151514289
38,520.9020419524186,2448.750386120011,252.81073019862924,1916.1524051458641,39.296408667207906,1063.9896254620257
39,542.031378377731,2510.7014772720113,266.05621091991156,1964.0877437690824,42.39138369440352,1089.4996115857089
40,562.8453520448563,2575.315630107106,278.9863270439,2014.686158535186,45.32867228494696,1117.672688315586
41,575.5387445453844,2642.733006956011,283.79582121761734,2068.0878133294686,45.32902813679036,1148.6490210921386
42,586.418805717186,2710.7110287587575,286.79197650924124,2122.0501163812537,45.32935755246703,1180.1860054307383
43,597.7719097702969,2776.5866322459724,290.4385666032651,2173.9099889031418,45.32969369180893,1209.6205470218651
44,604.8676296626292,2841.200785081066,290.89209642763257,2224.5084036692447,45.32997345126297,1237.7936237517417
45,609.9134992559465,2903.8526818350456,290.8922790863481,2273.144551630206,45.33022917792626,1264.004422949822
46,615.1170496127538,2965.1029674581123,290.8924630175917,2320.379081037454,45.3304866861913,1288.8135961696335
47,623.4742162596852,3029.1564756384555,292.21324410006645,2370.416848044675,45.330782207614085,1316.4260220357241
48,631.2006594884448,3092.64933921238,292.6667794853612,2419.893967373586,45.33106975266758,1343.4777971508584
49,638.5329006224654,3156.8430085518635,292.8049513792887,2470.071896312946,45.331352409616784,1371.2303857222794
50,643.1057279532546,3220.0555498405656,292.8051302669938,2519.268691832692,45.3316028566832,1398.0018355039347
51,646.7324708825327,3276.4001987393144,292.8053018186014,2561.597560025975,45.331843032869315,1417.9053230147179
